Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2010,1,201001,Adelaide,Brisbane,Adelaide - Brisbane,208,309.3781513
2010,1,201001,Adelaide,Canberra,Adelaide - Canberra,258,383.7478992
2010,1,201001,Adelaide,Darwin,Adelaide - Darwin,358,532.487395
2010,1,201001,Adelaide,Gold Coast,Adelaide - Gold Coast,128,190.3865546
2010,1,201001,Adelaide,Melbourne,Adelaide - Melbourne,86,127.9159664
2010,1,201001,Adelaide,Perth,Adelaide - Perth,288,428.3697479
2010,1,201001,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.85,316.5920168
2010,1,201001,Adelaide,Sydney,Adelaide - Sydney,116,172.5378151
2010,1,201001,Albury,Sydney,Albury - Sydney,133,197.8235294
2010,1,201001,Alice Springs,Darwin,Alice Springs - Darwin,428,636.605042
2010,1,201001,Alice Springs,Melbourne,Alice Springs - Melbourne,166,246.907563
2010,1,201001,Alice Springs,Sydney,Alice Springs - Sydney,458,681.2268908
2010,1,201001,Avalon,Brisbane,Avalon - Brisbane,158,235.0084034
2010,1,201001,Avalon,Sydney,Avalon - Sydney,78,116.0168067
2010,1,201001,Ayers Rock,Cairns,Ayers Rock - Cairns,628,934.0840336
2010,1,201001,Ayers Rock,Sydney,Ayers Rock - Sydney,618,919.210084
2010,1,201001,Ballina,Sydney,Ballina - Sydney,148,220.1344538
2010,1,201001,Brisbane,Cairns,Brisbane - Cairns,188,279.6302521
2010,1,201001,Brisbane,Canberra,Brisbane - Canberra,158,235.0084034
2010,1,201001,Brisbane,Darwin,Brisbane - Darwin,258,383.7478992
2010,1,201001,Brisbane,Emerald,Brisbane - Emerald,365,542.8991597
2010,1,201001,Brisbane,Gladstone,Brisbane - Gladstone,224,333.1764706
2010,1,201001,Brisbane,Hamilton Island,Brisbane - Hamilton Island,120,178.487395
2010,1,201001,Brisbane,Hobart,Brisbane - Hobart,348,517.6134454
2010,1,201001,Brisbane,Mackay,Brisbane - Mackay,108,160.6386555
2010,1,201001,Brisbane,Melbourne,Brisbane - Melbourne,218,324.2521008
2010,1,201001,Brisbane,Mount Isa,Brisbane - Mount Isa,471,700.5630252
2010,1,201001,Brisbane,Perth,Brisbane - Perth,438,651.4789916
2010,1,201001,Brisbane,Proserpine,Brisbane - Proserpine,128,190.3865546
2010,1,201001,Brisbane,Rockhampton,Brisbane - Rockhampton,87,129.4033613
2010,1,201001,Brisbane,Sydney,Brisbane - Sydney,128,190.3865546
2010,1,201001,Brisbane,Townsville,Brisbane - Townsville,148,220.1344538
2010,1,201001,Brisbane,Newcastle,Brisbane - Newcastle,78,116.0168067
2010,1,201001,Broome,Perth,Broome - Perth,278,413.4957983
2010,1,201001,Bundaberg,Brisbane,Bundaberg - Brisbane,224,333.1764706
2010,1,201001,Cairns,Melbourne,Cairns - Melbourne,348,517.6134454
2010,1,201001,Cairns,Sydney,Cairns - Sydney,368,547.3613445
2010,1,201001,Cairns,Townsville,Cairns - Townsville,108,160.6386555
2010,1,201001,Canberra,Melbourne,Canberra - Melbourne,76,113.0420168
2010,1,201001,Canberra,Sydney,Canberra - Sydney,98,145.7647059
2010,1,201001,Coffs Harbour,Sydney,Coffs Harbour - Sydney,118,175.512605
2010,1,201001,Darwin,Melbourne,Darwin - Melbourne,268,398.6218487
2010,1,201001,Darwin,Perth,Darwin - Perth,364,541.4117647
2010,1,201001,Darwin,Sydney,Darwin - Sydney,448,666.3529412
2010,1,201001,Devonport,Melbourne,Devonport - Melbourne,240,356.9747899
2010,1,201001,Dubbo,Sydney,Dubbo - Sydney,247.22,367.7137815
2010,1,201001,Geraldton,Perth,Geraldton - Perth,222.39,330.7817647
2010,1,201001,Gold Coast,Sydney,Gold Coast - Sydney,76,113.0420168
2010,1,201001,Hamilton Island,Sydney,Hamilton Island - Sydney,288,428.3697479
2010,1,201001,Hervey Bay,Sydney,Hervey Bay - Sydney,280,416.4705882
2010,1,201001,Hobart,Melbourne,Hobart - Melbourne,96,142.789916
2010,1,201001,Hobart,Sydney,Hobart - Sydney,178,264.7563025
2010,1,201001,Kalgoorlie,Perth,Kalgoorlie - Perth,248,368.8739496
2010,1,201001,Karratha,Perth,Karratha - Perth,308,458.1176471
2010,1,201001,Launceston,Melbourne,Launceston - Melbourne,86,127.9159664
2010,1,201001,Launceston,Sydney,Launceston - Sydney,198.95,295.9172269
2010,1,201001,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,178,264.7563025
2010,1,201001,Sunshine Coast,Sydney,Sunshine Coast - Sydney,188,279.6302521
2010,1,201001,Melbourne,Gold Coast,Melbourne - Gold Coast,118,175.512605
2010,1,201001,Melbourne,Mildura,Melbourne - Mildura,174,258.8067227
2010,1,201001,Melbourne,Perth,Melbourne - Perth,316,470.0168067
2010,1,201001,Melbourne,Sydney,Melbourne - Sydney,56,83.29411765
2010,1,201001,Melbourne,Newcastle,Melbourne - Newcastle,144,214.1848739
2010,1,201001,Paraburdoo,Perth,Paraburdoo - Perth,453,673.789916
2010,1,201001,Perth,Newman,Perth - Newman,358,532.487395
2010,1,201001,Perth,Port Hedland,Perth - Port Hedland,258,383.7478992
2010,1,201001,Perth,Sydney,Perth - Sydney,378,562.2352941
2010,1,201001,Port Macquarie,Sydney,Port Macquarie - Sydney,144,214.1848739
2010,1,201001,Sydney,Tamworth,Sydney - Tamworth,261,388.210084
2010,1,201001,Sydney,Townsville,Sydney - Townsville,198,294.5042017
2010,1,201001,Sydney,Wagga Wagga,Sydney - Wagga Wagga,230.41,342.7106723
2010,1,201001,Newcastle,Gold Coast,Newcastle - Gold Coast,130,193.3613445
2010,2,201002,Adelaide,Brisbane,Adelaide - Brisbane,278,413.4957983
2010,2,201002,Adelaide,Canberra,Adelaide - Canberra,274,407.5462185
2010,2,201002,Adelaide,Darwin,Adelaide - Darwin,579,861.2016807
2010,2,201002,Adelaide,Gold Coast,Adelaide - Gold Coast,135.6,201.6907563
2010,2,201002,Adelaide,Melbourne,Adelaide - Melbourne,81.6,121.3714286
2010,2,201002,Adelaide,Perth,Adelaide - Perth,368,547.3613445
2010,2,201002,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.66,264.2505882
2010,2,201002,Adelaide,Sydney,Adelaide - Sydney,117.6,174.9176471
2010,2,201002,Albury,Sydney,Albury - Sydney,138,205.2605042
2010,2,201002,Alice Springs,Darwin,Alice Springs - Darwin,508,755.5966387
2010,2,201002,Alice Springs,Melbourne,Alice Springs - Melbourne,176,261.7815126
2010,2,201002,Alice Springs,Sydney,Alice Springs - Sydney,538,800.2184874
2010,2,201002,Avalon,Brisbane,Avalon - Brisbane,178,264.7563025
2010,2,201002,Avalon,Sydney,Avalon - Sydney,98,145.7647059
2010,2,201002,Ayers Rock,Cairns,Ayers Rock - Cairns,838,1246.436975
2010,2,201002,Ayers Rock,Sydney,Ayers Rock - Sydney,818,1216.689076
2010,2,201002,Ballina,Sydney,Ballina - Sydney,178,264.7563025
2010,2,201002,Brisbane,Cairns,Brisbane - Cairns,208,309.3781513
2010,2,201002,Brisbane,Canberra,Brisbane - Canberra,178,264.7563025
2010,2,201002,Brisbane,Darwin,Brisbane - Darwin,248,368.8739496
2010,2,201002,Brisbane,Emerald,Brisbane - Emerald,369,548.8487395
2010,2,201002,Brisbane,Gladstone,Brisbane - Gladstone,254,377.7983193
2010,2,201002,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,235.0084034
2010,2,201002,Brisbane,Hobart,Brisbane - Hobart,508,755.5966387
2010,2,201002,Brisbane,Mackay,Brisbane - Mackay,178,264.7563025
2010,2,201002,Brisbane,Melbourne,Brisbane - Melbourne,238,354
2010,2,201002,Brisbane,Mount Isa,Brisbane - Mount Isa,544,809.1428571
2010,2,201002,Brisbane,Perth,Brisbane - Perth,438,651.4789916
2010,2,201002,Brisbane,Proserpine,Brisbane - Proserpine,158,235.0084034
2010,2,201002,Brisbane,Rockhampton,Brisbane - Rockhampton,87,129.4033613
2010,2,201002,Brisbane,Sydney,Brisbane - Sydney,148,220.1344538
2010,2,201002,Brisbane,Townsville,Brisbane - Townsville,188,279.6302521
2010,2,201002,Brisbane,Newcastle,Brisbane - Newcastle,88,130.8907563
2010,2,201002,Broome,Perth,Broome - Perth,278,413.4957983
2010,2,201002,Bundaberg,Brisbane,Bundaberg - Brisbane,274,407.5462185
2010,2,201002,Cairns,Melbourne,Cairns - Melbourne,378,562.2352941
2010,2,201002,Cairns,Sydney,Cairns - Sydney,358,532.487395
2010,2,201002,Cairns,Townsville,Cairns - Townsville,118,175.512605
2010,2,201002,Canberra,Melbourne,Canberra - Melbourne,76,113.0420168
2010,2,201002,Canberra,Sydney,Canberra - Sydney,128,190.3865546
2010,2,201002,Coffs Harbour,Sydney,Coffs Harbour - Sydney,219,325.7394958
2010,2,201002,Darwin,Melbourne,Darwin - Melbourne,318,472.9915966
2010,2,201002,Darwin,Perth,Darwin - Perth,398,591.9831933
2010,2,201002,Darwin,Sydney,Darwin - Sydney,438,651.4789916
2010,2,201002,Devonport,Melbourne,Devonport - Melbourne,270,401.5966387
2010,2,201002,Dubbo,Sydney,Dubbo - Sydney,248,368.8739496
2010,2,201002,Geraldton,Perth,Geraldton - Perth,363,539.9243697
2010,2,201002,Gold Coast,Sydney,Gold Coast - Sydney,76,113.0420168
2010,2,201002,Hamilton Island,Sydney,Hamilton Island - Sydney,268,398.6218487
2010,2,201002,Hervey Bay,Sydney,Hervey Bay - Sydney,380,565.210084
2010,2,201002,Hobart,Melbourne,Hobart - Melbourne,66,98.16806723
2010,2,201002,Hobart,Sydney,Hobart - Sydney,208,309.3781513
2010,2,201002,Kalgoorlie,Perth,Kalgoorlie - Perth,355,528.0252101
2010,2,201002,Karratha,Perth,Karratha - Perth,368,547.3613445
2010,2,201002,Launceston,Melbourne,Launceston - Melbourne,103,153.2016807
2010,2,201002,Launceston,Sydney,Launceston - Sydney,209.9,312.2042017
2010,2,201002,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,196,291.5294118
2010,2,201002,Sunshine Coast,Sydney,Sunshine Coast - Sydney,258,383.7478992
2010,2,201002,Melbourne,Gold Coast,Melbourne - Gold Coast,136,202.2857143
2010,2,201002,Melbourne,Mildura,Melbourne - Mildura,150,223.1092437
2010,2,201002,Melbourne,Perth,Melbourne - Perth,358,532.487395
2010,2,201002,Melbourne,Sydney,Melbourne - Sydney,66,98.16806723
2010,2,201002,Melbourne,Newcastle,Melbourne - Newcastle,150,223.1092437
2010,2,201002,Paraburdoo,Perth,Paraburdoo - Perth,429,638.092437
2010,2,201002,Perth,Newman,Perth - Newman,358,532.487395
2010,2,201002,Perth,Port Hedland,Perth - Port Hedland,328,487.8655462
2010,2,201002,Perth,Sydney,Perth - Sydney,434,645.5294118
2010,2,201002,Port Macquarie,Sydney,Port Macquarie - Sydney,158,235.0084034
2010,2,201002,Sydney,Tamworth,Sydney - Tamworth,225,334.6638655
2010,2,201002,Sydney,Townsville,Sydney - Townsville,248,368.8739496
2010,2,201002,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,318.302521
2010,2,201002,Newcastle,Gold Coast,Newcastle - Gold Coast,110,163.6134454
2010,3,201003,Adelaide,Brisbane,Adelaide - Brisbane,238,354
2010,3,201003,Adelaide,Canberra,Adelaide - Canberra,274,407.5462185
2010,3,201003,Adelaide,Darwin,Adelaide - Darwin,378,562.2352941
2010,3,201003,Adelaide,Gold Coast,Adelaide - Gold Coast,156,232.0336134
2010,3,201003,Adelaide,Melbourne,Adelaide - Melbourne,86,127.9159664
2010,3,201003,Adelaide,Perth,Adelaide - Perth,358,532.487395
2010,3,201003,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.86,316.6068908
2010,3,201003,Adelaide,Sydney,Adelaide - Sydney,106,157.6638655
2010,3,201003,Albury,Sydney,Albury - Sydney,174,258.8067227
2010,3,201003,Alice Springs,Darwin,Alice Springs - Darwin,428,636.605042
2010,3,201003,Alice Springs,Melbourne,Alice Springs - Melbourne,226,336.1512605
2010,3,201003,Alice Springs,Sydney,Alice Springs - Sydney,498,740.7226891
2010,3,201003,Avalon,Brisbane,Avalon - Brisbane,278,413.4957983
2010,3,201003,Avalon,Sydney,Avalon - Sydney,98,145.7647059
2010,3,201003,Ayers Rock,Cairns,Ayers Rock - Cairns,698,1038.201681
2010,3,201003,Ayers Rock,Sydney,Ayers Rock - Sydney,714,1062
2010,3,201003,Ballina,Sydney,Ballina - Sydney,188,279.6302521
2010,3,201003,Brisbane,Cairns,Brisbane - Cairns,258,383.7478992
2010,3,201003,Brisbane,Canberra,Brisbane - Canberra,193,287.0672269
2010,3,201003,Brisbane,Darwin,Brisbane - Darwin,274,407.5462185
2010,3,201003,Brisbane,Emerald,Brisbane - Emerald,316,470.0168067
2010,3,201003,Brisbane,Gladstone,Brisbane - Gladstone,218,324.2521008
2010,3,201003,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,205.2605042
2010,3,201003,Brisbane,Hobart,Brisbane - Hobart,608,904.3361345
2010,3,201003,Brisbane,Mackay,Brisbane - Mackay,144,214.1848739
2010,3,201003,Brisbane,Melbourne,Brisbane - Melbourne,228,339.1260504
2010,3,201003,Brisbane,Mount Isa,Brisbane - Mount Isa,544,809.1428571
2010,3,201003,Brisbane,Perth,Brisbane - Perth,558,829.9663866
2010,3,201003,Brisbane,Proserpine,Brisbane - Proserpine,198,294.5042017
2010,3,201003,Brisbane,Rockhampton,Brisbane - Rockhampton,108,160.6386555
2010,3,201003,Brisbane,Sydney,Brisbane - Sydney,148,220.1344538
2010,3,201003,Brisbane,Townsville,Brisbane - Townsville,298,443.2436975
2010,3,201003,Brisbane,Newcastle,Brisbane - Newcastle,78,116.0168067
2010,3,201003,Broome,Perth,Broome - Perth,304,452.1680672
2010,3,201003,Bundaberg,Brisbane,Bundaberg - Brisbane,320,475.9663866
2010,3,201003,Cairns,Melbourne,Cairns - Melbourne,358,532.487395
2010,3,201003,Cairns,Sydney,Cairns - Sydney,338,502.7394958
2010,3,201003,Cairns,Townsville,Cairns - Townsville,158,235.0084034
2010,3,201003,Canberra,Melbourne,Canberra - Melbourne,106,157.6638655
2010,3,201003,Canberra,Sydney,Canberra - Sydney,138,205.2605042
2010,3,201003,Coffs Harbour,Sydney,Coffs Harbour - Sydney,178,264.7563025
2010,3,201003,Darwin,Melbourne,Darwin - Melbourne,398,591.9831933
2010,3,201003,Darwin,Perth,Darwin - Perth,448,666.3529412
2010,3,201003,Darwin,Sydney,Darwin - Sydney,388,577.1092437
2010,3,201003,Devonport,Melbourne,Devonport - Melbourne,270,401.5966387
2010,3,201003,Dubbo,Sydney,Dubbo - Sydney,248,368.8739496
2010,3,201003,Geraldton,Perth,Geraldton - Perth,444,660.4033613
2010,3,201003,Gold Coast,Sydney,Gold Coast - Sydney,86,127.9159664
2010,3,201003,Hamilton Island,Sydney,Hamilton Island - Sydney,374,556.2857143
2010,3,201003,Hervey Bay,Sydney,Hervey Bay - Sydney,350,520.5882353
2010,3,201003,Hobart,Melbourne,Hobart - Melbourne,56,83.29411765
2010,3,201003,Hobart,Sydney,Hobart - Sydney,198,294.5042017
2010,3,201003,Kalgoorlie,Perth,Kalgoorlie - Perth,359,533.9747899
2010,3,201003,Karratha,Perth,Karratha - Perth,358,532.487395
2010,3,201003,Launceston,Melbourne,Launceston - Melbourne,56,83.29411765
2010,3,201003,Launceston,Sydney,Launceston - Sydney,249.9,371.7
2010,3,201003,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,156,232.0336134
2010,3,201003,Sunshine Coast,Sydney,Sunshine Coast - Sydney,208,309.3781513
2010,3,201003,Melbourne,Gold Coast,Melbourne - Gold Coast,186,276.6554622
2010,3,201003,Melbourne,Mildura,Melbourne - Mildura,198,294.5042017
2010,3,201003,Melbourne,Perth,Melbourne - Perth,376,559.2605042
2010,3,201003,Melbourne,Sydney,Melbourne - Sydney,66,98.16806723
2010,3,201003,Melbourne,Newcastle,Melbourne - Newcastle,158,235.0084034
2010,3,201003,Paraburdoo,Perth,Paraburdoo - Perth,409,608.3445378
2010,3,201003,Perth,Newman,Perth - Newman,348,517.6134454
2010,3,201003,Perth,Port Hedland,Perth - Port Hedland,358,532.487395
2010,3,201003,Perth,Sydney,Perth - Sydney,478,710.9747899
2010,3,201003,Port Macquarie,Sydney,Port Macquarie - Sydney,158,235.0084034
2010,3,201003,Sydney,Tamworth,Sydney - Tamworth,190,282.605042
2010,3,201003,Sydney,Townsville,Sydney - Townsville,228,339.1260504
2010,3,201003,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,318.302521
2010,3,201003,Newcastle,Gold Coast,Newcastle - Gold Coast,154,229.0588235
2010,4,201004,Adelaide,Brisbane,Adelaide - Brisbane,198,292.6597077
2010,4,201004,Adelaide,Canberra,Adelaide - Canberra,224,331.0897704
2010,4,201004,Adelaide,Darwin,Adelaide - Darwin,348,514.3716075
2010,4,201004,Adelaide,Gold Coast,Adelaide - Gold Coast,127,187.7160752
2010,4,201004,Adelaide,Melbourne,Adelaide - Melbourne,38,56.16701461
2010,4,201004,Adelaide,Perth,Adelaide - Perth,298,440.4676409
2010,4,201004,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.76,262.743382
2010,4,201004,Adelaide,Sydney,Adelaide - Sydney,116,171.4572025
2010,4,201004,Albury,Sydney,Albury - Sydney,118,174.4133612
2010,4,201004,Alice Springs,Darwin,Alice Springs - Darwin,508,750.8643006
2010,4,201004,Alice Springs,Melbourne,Alice Springs - Melbourne,186,274.9227557
2010,4,201004,Alice Springs,Sydney,Alice Springs - Sydney,538,795.2066806
2010,4,201004,Avalon,Brisbane,Avalon - Brisbane,198,292.6597077
2010,4,201004,Avalon,Sydney,Avalon - Sydney,78,115.2901879
2010,4,201004,Ayers Rock,Cairns,Ayers Rock - Cairns,808,1194.2881
2010,4,201004,Ayers Rock,Sydney,Ayers Rock - Sydney,638,943.0146138
2010,4,201004,Ballina,Sydney,Ballina - Sydney,158,233.5365344
2010,4,201004,Brisbane,Cairns,Brisbane - Cairns,218,322.2212944
2010,4,201004,Brisbane,Canberra,Brisbane - Canberra,198,292.6597077
2010,4,201004,Brisbane,Darwin,Brisbane - Darwin,258,381.3444676
2010,4,201004,Brisbane,Emerald,Brisbane - Emerald,246,363.6075157
2010,4,201004,Brisbane,Gladstone,Brisbane - Gladstone,182,269.0104384
2010,4,201004,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,203.9749478
2010,4,201004,Brisbane,Hobart,Brisbane - Hobart,358,529.1524008
2010,4,201004,Brisbane,Mackay,Brisbane - Mackay,148.95,220.1599165
2010,4,201004,Brisbane,Melbourne,Brisbane - Melbourne,158,233.5365344
2010,4,201004,Brisbane,Mount Isa,Brisbane - Mount Isa,544,804.0751566
2010,4,201004,Brisbane,Perth,Brisbane - Perth,404,597.1440501
2010,4,201004,Brisbane,Proserpine,Brisbane - Proserpine,138,203.9749478
2010,4,201004,Brisbane,Rockhampton,Brisbane - Rockhampton,88,130.0709812
2010,4,201004,Brisbane,Sydney,Brisbane - Sydney,138,203.9749478
2010,4,201004,Brisbane,Townsville,Brisbane - Townsville,148,218.7557411
2010,4,201004,Brisbane,Newcastle,Brisbane - Newcastle,78,115.2901879
2010,4,201004,Broome,Perth,Broome - Perth,298,440.4676409
2010,4,201004,Bundaberg,Brisbane,Bundaberg - Brisbane,170,251.2734864
2010,4,201004,Cairns,Melbourne,Cairns - Melbourne,378.95,560.1181628
2010,4,201004,Cairns,Sydney,Cairns - Sydney,258,381.3444676
2010,4,201004,Cairns,Townsville,Cairns - Townsville,98,144.8517745
2010,4,201004,Canberra,Melbourne,Canberra - Melbourne,57,84.25052192
2010,4,201004,Canberra,Sydney,Canberra - Sydney,98,144.8517745
2010,4,201004,Coffs Harbour,Sydney,Coffs Harbour - Sydney,148,218.7557411
2010,4,201004,Darwin,Melbourne,Darwin - Melbourne,328,484.8100209
2010,4,201004,Darwin,Perth,Darwin - Perth,298,440.4676409
2010,4,201004,Darwin,Sydney,Darwin - Sydney,438,647.3987474
2010,4,201004,Devonport,Melbourne,Devonport - Melbourne,198,292.6597077
2010,4,201004,Dubbo,Sydney,Dubbo - Sydney,247.22,365.4107724
2010,4,201004,Geraldton,Perth,Geraldton - Perth,277,409.4279749
2010,4,201004,Gold Coast,Sydney,Gold Coast - Sydney,57,84.25052192
2010,4,201004,Hamilton Island,Sydney,Hamilton Island - Sydney,238,351.782881
2010,4,201004,Hervey Bay,Sydney,Hervey Bay - Sydney,230,339.9582463
2010,4,201004,Hobart,Melbourne,Hobart - Melbourne,56,82.77244259
2010,4,201004,Hobart,Sydney,Hobart - Sydney,178,263.0981211
